matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/bcspwr08.mtx,PAR,4,auto,50,0.020
matrix_mkt/bcspwr08.mtx,PAR,4,auto,100,0.022
matrix_mkt/bcspwr10.mtx,PAR,64,static,0,5.840
matrix_mkt/bcspwr10.mtx,PAR,64,static,1,0.245
matrix_mkt/bcspwr10.mtx,PAR,64,static,10,0.083
matrix_mkt/bcspwr10.mtx,PAR,64,static,50,0.076
matrix_mkt/bcspwr10.mtx,PAR,64,static,100,0.073
matrix_mkt/bcspwr10.mtx,PAR,32,static,0,0.049
matrix_mkt/bcspwr10.mtx,PAR,32,static,1,0.116
matrix_mkt/bcspwr10.mtx,PAR,32,static,10,0.063
matrix_mkt/bcspwr10.mtx,PAR,32,static,50,0.054
matrix_mkt/bcspwr10.mtx,PAR,32,static,100,0.051
matrix_mkt/bcspwr10.mtx,PAR,16,static,0,0.049
matrix_mkt/bcspwr10.mtx,PAR,16,static,1,0.107
matrix_mkt/bcspwr10.mtx,PAR,16,static,10,0.063
matrix_mkt/bcspwr10.mtx,PAR,16,static,50,0.047
matrix_mkt/bcspwr10.mtx,PAR,16,static,100,0.054
matrix_mkt/bcspwr10.mtx,PAR,4,static,0,0.053
matrix_mkt/bcspwr10.mtx,PAR,4,static,1,0.108
matrix_mkt/bcspwr10.mtx,PAR,4,static,10,0.072
matrix_mkt/bcspwr10.mtx,PAR,4,static,50,0.061
matrix_mkt/bcspwr10.mtx,PAR,4,static,100,0.057
matrix_mkt/bcspwr10.mtx,PAR,64,dynamic,0,0.869
matrix_mkt/bcspwr10.mtx,PAR,64,dynamic,1,0.476
matrix_mkt/bcspwr10.mtx,PAR,64,dynamic,10,0.108
matrix_mkt/bcspwr10.mtx,PAR,64,dynamic,50,0.074
matrix_mkt/bcspwr10.mtx,PAR,64,dynamic,100,0.073
matrix_mkt/bcspwr10.mtx,PAR,32,dynamic,0,0.517
matrix_mkt/bcspwr10.mtx,PAR,32,dynamic,1,0.443
matrix_mkt/bcspwr10.mtx,PAR,32,dynamic,10,0.093
matrix_mkt/bcspwr10.mtx,PAR,32,dynamic,50,0.058
matrix_mkt/bcspwr10.mtx,PAR,32,dynamic,100,0.054
matrix_mkt/bcspwr10.mtx,PAR,16,dynamic,0,0.596
